title,artist,album,genre,bpm,bpm_manual,bpm_alt,key,key_numeric,label,year,track_number,remix,duration_sec,bitrate,file_path
Touch,Code Walk,Distance,Breaks,0.0,0.0,0.0,4A,15,,2019,2,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/31. Code Walk - Touch.aiff
Soft,Lake Hills,Picking Flowers EP,,119.16,0.0,178.73,9B,8,,2024,2,,340,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/10. Lake Hills - Soft.aiff
Y,Tristan Blach,Quinctus | DPVA005,,120.0,0.0,90.0,2B,1,,2025,31,,350,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/01. Tristan Blach - Y.aiff
Center of Mass,ANNĒ,Kinesis,,0.0,0.0,0.0,3A,14,,2025,3,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/01. ANNĒ - Center of Mass.aiff
Last Night A DJ Saved My Life (feat. Anané & Tony Touch),"Louie Vega, Anané, Tony Touch",NYC Disco,,147.13,0.0,110.35,11B,10,,2018,7,,296,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/37. Louie Vega, Anané, Tony Touch - Last Night A DJ Saved My Life (feat. Anané & Tony Touch).aiff"
Memory,SG Lewis,Anemoia,,0.0,0.0,0.0,9B,8,,2025,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/24. SG Lewis - Memory.aiff
Elastic,Sansibar,We Rise,,131.16,0.0,196.75,4B,3,,2024,2,,292,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/peak time hypnotic electro/1. Sansibar - Elastic.aiff
Ridge Racer,Kosh,Back on Track,,124.41,0.0,93.31,12A,23,,2025,3,,370,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/04. Kosh - Ridge Racer.aiff
Ahora,Etapp Kyle,Continuum,,129.16,0.0,96.87,7A,18,,2016,2,,349,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/02. Etapp Kyle - Ahora.aiff
Bushcraft,AK-One,Scenic Route,,0.0,0.0,0.0,2B,1,,2021,3,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/18. AK-One - Bushcraft.aiff
Atman,Silat Beksi,Atman,,136.45,0.0,204.68,10B,9,,2025,1,,406,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Weird Sleazy Obscure Dub/2. Silat Beksi - Atman.aiff
Cypher,Red Rooms,Emerge LP,,119.16,0.0,89.37,9B,8,,2024,8,,300,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/07. Red Rooms - Cypher.aiff
4AM Riddim 🅴,Oldboy,Prestige 01,,119.16,0.0,89.37,4B,3,,2024,2,,285,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/07. Oldboy - 4AM Riddim.aiff
Summer,Stillhead,Summer,,120.86,0.0,181.29,4A,15,,2021,1,,252,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/08. Stillhead - Summer.aiff
Purple Haze,Suki,Rhythm Export EP,Techno,124.41,0.0,93.31,2A,13,,2021,85,,437,1411,/Users/suhaas/Music/ResisDance/converted_aiff/85 - Suki - Purple Haze.aiff
Basement,Blocklab,Alarm Room,Dubstep,0.0,0.0,0.0,6A,17,,2023,2,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/21. Blocklab - Basement.aiff
,,,,0.0,0.0,0.0,,-1,,,,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz.zip
Cube 11,DJ Sprinter,Vol. 2,Breaks,123.5,0.0,185.26,7A,18,,2025,3,,255,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/rugged breaks/3. DJ Sprinter - Cube 11.aiff
ALS624,Make Install,Sentient Entities,,125.49,0.0,188.0,6A,17,,2022,4,,300,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/peak time hypnotic electro/2. Make Install - ALS624.aiff
VC Shit 🅴,Kenji Hina,Bring It Down,,117.5,0.0,88.12,11B,10,,2023,2,,323,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/04. Kenji Hina - VC Shit.aiff
Magic Bells,Tsepo,Magic Bells,"Breakbeat, House",130.15,0.0,97.62,8A,19,,2025,58,,311,1411,/Users/suhaas/Music/ResisDance/converted_aiff/58 - Tsepo - Magic Bells.aiff
Arambha,Marco Borg,"Mystical Fields, Pt. 1",House,132.19,0.0,99.14,3B,2,Aurora Mística Records,2024,04,,400,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/12. Marco Borg - Arambha.aiff
TYB,"Dj ADHD, Baalti",TYB,Baalti,116.68,0.0,87.52,2A,13,,2025,1,,267,2117,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/05. Dj ADHD, Baalti - TYB.aiff"
Helico,Abdul Raeva,Cream,Trance (Raw / Deep / Hypnotic),126.27,0.0,94.7,11B,10,Mikasa,2025,02,,360,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/14. Abdul Raeva - Helico.aiff
Athenia,Derek Carr,Pioneers EP,,130.15,0.0,97.62,12B,11,,2018,2,,400,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/08. Derek Carr - Athenia.aiff
